url,name,price,rating,number_of_reviews
/Rainox-PU-Leather-Shoulder-Band-Wrist-Exercise/dp/B0C6ZY6RD3/,Rainox Combo Pack of PU-Leather Gym Bag Gym Duffel Bag with Shoulder Strap for Men's & Women's with Wrist Support Band-Wrist Straps for Daily Exercise (Grey) 6 cms,325,4.0,30
/AirCase-C24-Messenger-Shoulder-Compartments/dp/B07Y3DB5YZ/,"AirCase Office Sling Messenger Bag fits upto 14.1"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Carry Handle with Spacious Pockets, For Men & Women, Blue",729,4.0,1750
/Gear-Business-Anti-Theft-Office-Backpack/dp/B0B466YD7L/,Gear Suave Business 25L Medium Water Resistant Anti-Theft Laptop Bag/Office Backpack For Men/Women (Black),783,4.0,89
/TRAWOC-60LTravel-Backpack-Trekking-Rucksack/dp/B07YYG5G31/,"TRAWOC 60 Liter Travel Backpack Hiking Trekking Bag Camping Rucksack, 1 Year Warranty, HK006","1,567",4.3,1444
/Shalimar-Premium-Garbage-Small-Rolls/dp/B07KT56WHT/,Shalimar Premium OXO - Biodegradable Garbage Bags 17 X 19 Inches (Small) 120 Bags (4 rolls) Dustbin Bag/Trash Bag - Black Color,256,4.4,14607
/Safari-Polyester-Travel-Duffle-PEP55RLBLK/dp/B07DD79VDG/,Safari Polyester 53 cms Black Travel Duffle,"1,199",3.9,935
/Lavie-Sport-School-Backpack-BDEI322019M3/dp/B07VFNPD23/,Lavie Sport Jarvis Backpack with Laptop Sleeve | Sturdy Backpack for Men & Women | College Bags for Girls & Boys,899,4.2,243
/ADISA-Laptop-Backpack-Office-College/dp/B09TPVD964/,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,449,3.9,1397
/DZert-Panda-School-Backpacks-Cartoon/dp/B07Y2BFJ1B/,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),229,3.7,12738
/Half-Moon-Laptop-Backpack-Polyester/dp/B09CMS3K2S/,Half Moon 30L Water Resistant 15.6 inch Laptop Bag/Backpack for Men | School Bag for Boys Girls | Office Bag pack for Men/Office Back Packed for Women with Padded Laptop Compartment,459,3.6,112
